state_canonical,state_code,fy,sc_rural,sc_urban,phc_rural,phc_urban,chc_rural,chc_urban
Andaman and Nicobar Islands,AN,2019-20,124,0,22,5,4,0
Andhra Pradesh,AP,2019-20,7437,21,1142,243,141,57
Arunachal Pradesh,AR,2019-20,356,7,119,5,60,0
Assam,AS,2019-20,4659,21,946,56,190,2
Bihar,BR,2019-20,9112,1168,1702,325,57,7
Chandigarh,CH,2019-20,0,0,0,48,0,2
Chhattisgarh,CG,2019-20,5205,364,792,45,170,4
Dadra and Nagar Haveli and Daman and Diu,DN,2019-20,94,3,10,3,4,0
Delhi,DL,2019-20,12,246,5,541,0,23
Goa,GA,2019-20,218,0,55,4,6,0
Gujarat,GJ,2019-20,9162,0,1477,318,348,14
Haryana,HR,2019-20,2617,0,385,100,118,13
Himachal Pradesh,HP,2019-20,2092,12,564,24,85,7
Jammu and Kashmir,JK,2019-20,2470,22,923,49,77,0
Jharkhand,JH,2019-20,3848,0,291,60,171,6
Karnataka,KA,2019-20,9188,247,2176,358,189,19
Kerala,KL,2019-20,5410,0,784,148,211,16
Ladakh,LA,2019-20,238,0,32,0,7,0
Lakshadweep,LD,2019-20,11,0,4,0,3,0
Madhya Pradesh,MP,2019-20,10226,0,1199,277,309,21
Maharashtra,MH,2019-20,10647,2,1829,846,278,140
Manipur,MN,2019-20,418,0,85,8,17,0
Meghalaya,ML,2019-20,440,3,119,24,28,0
Mizoram,MZ,2019-20,311,59,57,8,9,0
Nagaland,NL,2019-20,395,20,130,7,21,0
Odisha,OR,2019-20,6688,0,1288,89,377,7
Puducherry,PY,2019-20,53,28,24,15,3,1
Punjab,PB,2019-20,2950,97,427,100,143,12
Rajasthan,RJ,2019-20,13480,50,2094,383,548,66
Sikkim,SK,2019-20,147,6,24,1,2,0
Tamil Nadu,TN,2019-20,8713,0,1420,464,385,15
Telangana,TG,2019-20,4744,97,636,249,85,10
Tripura,TR,2019-20,965,36,107,5,22,0
Uttar Pradesh,UP,2019-20,20778,0,2880,593,711,12
Uttarakhand,UK,2019-20,1839,8,257,38,56,12
West Bengal,WB,2019-20,10357,0,913,456,348,0
Andaman and Nicobar Islands,AN,2020-21,124,0,22,5,4,0
Andhra Pradesh,AP,2020-21,7437,21,1142,259,141,57
Arunachal Pradesh,AR,2020-21,337,10,122,5,57,0
Assam,AS,2020-21,4663,15,948,53,197,2
Bihar,BR,2020-21,10258,0,1932,102,306,0
Chandigarh,CH,2020-21,0,0,0,42,0,2
Chhattisgarh,CG,2020-21,5115,370,769,52,166,3
Dadra and Nagar Haveli and Daman and Diu,DN,2020-21,94,3,12,2,3,1
Delhi,DL,2020-21,12,3,5,544,0,0
Goa,GA,2020-21,219,0,23,4,6,0
Gujarat,GJ,2020-21,9162,0,1477,322,333,27
Haryana,HR,2020-21,2626,0,384,100,124,13
Himachal Pradesh,HP,2020-21,2114,1,553,19,98,0
Jammu and Kashmir,JK,2020-21,2426,45,891,82,63,16
Jharkhand,JH,2020-21,3848,0,291,59,171,5
Karnataka,KA,2020-21,8891,550,2141,390,182,30
Kerala,KL,2020-21,5234,250,782,158,213,16
Ladakh,LA,2020-21,289,0,32,0,7,0
Lakshadweep,LD,2020-21,7,0,4,0,3,0
Madhya Pradesh,MP,2020-21,10189,0,1234,284,295,25
Maharashtra,MH,2020-21,10673,0,1839,651,270,131
Manipur,MN,2020-21,416,0,86,9,17,0
Meghalaya,ML,2020-21,448,3,121,24,28,0
Mizoram,MZ,2020-21,340,37,62,6,9,0
Nagaland,NL,2020-21,427,18,131,7,21,0
Odisha,OR,2020-21,6688,0,1288,91,377,7
Puducherry,PY,2020-21,53,28,24,15,3,1
Punjab,PB,2020-21,2951,0,422,100,150,10
Rajasthan,RJ,2020-21,13531,50,2130,264,589,68
Sikkim,SK,2020-21,147,6,24,2,2,0
Tamil Nadu,TN,2020-21,8713,0,1422,464,385,15
Telangana,TG,2020-21,4744,256,636,227,85,10
Tripura,TR,2020-21,967,32,108,8,22,0
Uttar Pradesh,UP,2020-21,20778,0,2923,593,753,12
Uttarakhand,UK,2020-21,1823,20,245,42,53,19
West Bengal,WB,2020-21,10357,0,915,454,348,0
