state_canonical,state_code,adult_share,person_15plus,person_all
Andaman and Nicobar Islands,AN,0.8129704690214244,1404,1727
Andhra Pradesh,AP,0.8081910762693237,11031,13649
Arunachal Pradesh,AR,0.7422443508234393,5814,7833
Assam,AS,0.7639807966783444,11776,15414
Bihar,BR,0.6745127703123609,15159,22474
Chandigarh,CH,0.8035143769968051,1006,1252
Chhattisgarh,CG,0.7834461218115565,7525,9605
Dadra and Nagar Haveli and Daman and Diu,DN,0.7797570850202429,963,1235
Delhi,DL,0.7972087724295073,2799,3511
Goa,GA,0.7859712230215827,1311,1668
Gujarat,GJ,0.7880671622660856,12297,15604
Haryana,HR,0.7556317789932326,8151,10787
Himachal Pradesh,HP,0.789405684754522,5499,6966
Jammu and Kashmir,JK,0.7467350091279314,10635,14242
Jharkhand,JH,0.7218574859887911,9016,12490
Karnataka,KA,0.8049687790620433,12118,15054
Kerala,KL,0.8015786433934415,12491,15583
Ladakh,LA,0.7907608695652174,873,1104
Lakshadweep,LD,0.7850467289719626,588,749
Madhya Pradesh,MP,0.7596234504613664,16300,21458
Maharashtra,MH,0.7994514359470797,24775,30990
Manipur,MN,0.7384522491697696,7338,9937
Meghalaya,ML,0.691494473810668,4317,6243
Mizoram,MZ,0.7413325724069054,5196,7009
Nagaland,NL,0.6662993167291161,3023,4537
Odisha,OR,0.7864430557326871,12333,15682
Puducherry,PY,0.8139048614741244,1557,1913
Punjab,PB,0.7809583562073563,9958,12751
Rajasthan,RJ,0.738608389851796,14702,19905
Sikkim,SK,0.8346545866364666,2211,2649
Tamil Nadu,TN,0.8049396949272791,18153,22552
Telangana,TG,0.7803105713716902,7839,10046
Tripura,TR,0.8272406492589979,5861,7085
Uttar Pradesh,UP,0.7150444548432382,30561,42740
Uttarakhand,UK,0.7544883303411131,5043,6684
West Bengal,WB,0.8050017977707643,20150,25031
