state_canonical,state_code,year_end,internet_subs_total_million,internet_density_total
Andaman and Nicobar Islands,AN,2024-03,0.41,102.02
Andhra Pradesh,AP,2024-03,35.61,66.74
Arunachal Pradesh,AR,2024-03,0.89,56.59
Assam,AS,2024-03,19.77,54.8
Bihar,BR,2024-03,54.21,42.1
Chandigarh,CH,2024-03,1.32,106.4
Chhattisgarh,CG,2024-03,17.23,56.39
Dadra and Nagar Haveli and Daman and Diu,DN,2024-03,0.84,61.25
Delhi,DL,2024-03,35.18,161.48
Goa,GA,2024-03,2.41,152.48
Gujarat,GJ,2024-03,55.58,76.73
Haryana,HR,2024-03,29.67,96.97
Himachal Pradesh,HP,2024-03,6.6,87.96
Jammu and Kashmir,JK,2024-03,9.55,69.63
Jharkhand,JH,2024-03,19.62,49.04
Karnataka,KA,2024-03,57.88,84.93
Kerala,KL,2024-03,33.68,93.74
Ladakh,LA,2024-03,0.32,107.46
Lakshadweep,LD,2024-03,0.06,85.68
Madhya Pradesh,MP,2024-03,48.67,55.5
Maharashtra,MH,2024-03,109.75,86.12
Manipur,MN,2024-03,2.25,69.21
Meghalaya,ML,2024-03,2.07,61.28
Mizoram,MZ,2024-03,1.24,99.44
Nagaland,NL,2024-03,1.66,73.69
Odisha,OR,2024-03,24.55,55.26
Puducherry,PY,2024-03,1.25,74.07
Punjab,PB,2024-03,27.47,88.79
Rajasthan,RJ,2024-03,52.48,64.02
Sikkim,SK,2024-03,0.6,85.79
Tamil Nadu,TN,2024-03,61.23,79.41
Telangana,TG,2024-03,35.59,92.96
Tripura,TR,2024-03,2.18,52.08
Uttar Pradesh,UP,2024-03,129.53,54.36
Uttarakhand,UK,2024-03,9.84,83.67
West Bengal,WB,2024-03,63.18,63.44
