state_canonical,state_code,population,upi_volume_avg_million,upi_value_avg_crore,per_capita_upi,per_capita_nsdp,literacy,internet_density,share_urban,pmjdy_per_adult,bank_offices_per_100k
Andaman and Nicobar Islands,AN,404500,3.3008333333333333,555.4233333333333,8.160280181293778,178431,91.1,107.25,0.44774081504901603,0.1878596540345613,19.530284301606923
Andhra Pradesh,AP,53494000,552.7966666666666,98877.3325,10.333806906693585,141609,72.6,68.11,0.3723458066455438,0.3598150401972529,15.876546902456349
Arunachal Pradesh,AR,1587000,15.8225,2251.2516666666666,9.970069313169502,120943,84.2,58.33,0.25936433222946126,0.39125617748177105,15.500945179584122
Assam,AS,36326000,187.63583333333332,23103.128333333334,5.16533153480519,85988,87,55.84,0.1573640051041373,0.8915737715990193,9.23030336398172
Bihar,BR,130123000,476.5308333333333,71068.73666666666,3.6621568311008303,36342,74.3,41.63,0.12402361471261293,0.7114121411552031,6.505383368044082
Chandigarh,CH,1253000,26.663333333333334,3410.5233333333335,21.279595637137536,275139,93.7,110.73,1,0.3331494131777571,39.984038308060654
Chhattisgarh,CG,30810000,138.53166666666667,18297.968333333334,4.496321540625338,93161,78.5,56.67,0.2759217293363724,0.755078957127653,10.759493670886076
Dadra and Nagar Haveli and Daman and Diu,DN,1433000,10.320833333333333,1067.9358333333334,7.202256338683415,NA,87.8,57.87,0.8546051816305987,0.21408871801672347,7.955338450802513
Delhi,DL,22080500,445.32,55245.16916666667,20.168021557482845,283093,86.9,161.76,0.9995135782595216,0.3785441520661362,18.66805552410498
Goa,GA,1589000,30.803333333333335,4357.1725,19.38535766729599,357611,93.6,151.38,0.7761986849596798,0.17217037038103783,45.437382001258655
Gujarat,GJ,73083000,466.8666666666667,71678.93833333334,6.388170527573672,181963,84.6,76.21,0.49496809402017977,0.33281107447303443,13.498351189743168
Haryana,HR,30875500,353.0808333333333,50916.152500000004,11.435631271828257,194285,84.8,97.32,0.429874612492878,0.44936203506994177,18.908195818691198
Himachal Pradesh,HP,7536500,54.7025,7104.475,7.258342732037418,162275,88.8,88.45,0.10348946355971124,0.33249515055100637,25.131028992237773
Jammu and Kashmir,JK,13782000,67.75166666666667,9556.095833333333,4.915953175639723,81554,82,71.85,0.3093244437851087,0.22736545391442556,14.729357132491655
Jharkhand,JH,40377500,169.19583333333333,23037.200833333332,4.190349410769199,68357,76.7,47.82,0.2644213081311697,0.6681695957027558,9.002538542505109
Karnataka,KA,68467500,1167.7391666666667,160639.22333333333,17.055379072796097,204605,82.7,87.94,0.4509258511736485,0.36703129218759895,17.354219155073576
Kerala,KL,36039000,339.99666666666667,47495.21166666667,9.434131542680614,173818,95.3,99.97,0.7894723902927157,0.23398069451482356,21.140986153888843
Ladakh,LA,303000,3.0566666666666666,597.0366666666667,10.088008800880088,NA,81,139.93,NA,0.07706159481927574,34.65346534653465
Lakshadweep,LD,69000,0.4275,50.48083333333334,6.195652173913044,NA,97.3,75.9,1,0.1895576259489303,39.130434782608695
Madhya Pradesh,MP,88469500,539.95,71829.73083333333,6.103233317697059,70434,75.2,55.78,0.2916266441490188,0.6676413345474821,9.367070007177615
Maharashtra,MH,128171500,1996.07,252535.895,15.573430910927936,176678,87.3,85.24,0.48931506297230715,0.35508001754066953,12.040118122983658
Manipur,MN,3274500,9.753333333333334,2301.778333333333,2.978571792131114,61059,92,70.01,0.3283560675962335,0.46150059461182424,8.367689723621927
Meghalaya,ML,3402000,11.28,1659.1316666666667,3.315696649029982,84578,94.2,61.08,0.20768121093940223,0.3527348046503324,12.022339800117578
Mizoram,MZ,1258000,8.070833333333333,1430.9108333333334,6.415606783253843,151676,98.2,98.31,0.5539196713803257,0.43758372910677285,19.87281399046105
Nagaland,NL,2268500,9.474166666666667,1706.5166666666667,4.176401440011755,77568,95.7,72.9,0.4782561651000986,0.2692709229242474,10.800088163985013
Odisha,OR,44527000,321.6616666666667,42288.559166666666,7.223968977624064,96224,79,58.09,0.19082058464518695,0.6498041729253904,13.769173759741282
Puducherry,PY,1713500,15.614166666666666,2188.4991666666665,9.11244042408326,154213,92.7,66.69,0.7043470122025364,0.17428543814759026,17.741464838050774
Punjab,PB,31090000,187.8225,31721.773333333334,6.04125120617562,136667,83.4,87.31,0.42342995119743804,0.3899099190579204,22.968800257317465
Rajasthan,RJ,82624000,602.995,90650.83083333334,7.298061096049574,96638,75.8,62.82,0.2682954077367736,0.600467257789393,11.028272656855151
Sikkim,SK,700000,6.4191666666666665,953.2975,9.170238095238096,292339,84.7,91.25,0.5189364928922133,0.16194380887768947,26.857142857142858
Tamil Nadu,TN,77279500,692.9591666666666,107468.16416666667,8.966920938498136,197747,85.5,82.09,0.5430274583076283,0.2714591668904434,17.7407980124095
Telangana,TG,38408000,882.6466666666666,140273.01916666667,22.980802610567242,192128,76.9,94.07,0.4867930096714732,0.4137778882001424,17.12143303478442
Tripura,TR,4213000,11.5,1697.8625,2.729646332779492,106126,93.7,51.91,0.4072787017751516,0.31773762389088817,15.76074056491811
Uttar Pradesh,UP,240070000,1002.1375,136182.3125,4.174355396342733,55990,78.2,54.49,0.24242891779478515,0.5683930121425065,8.356312742116883
Uttarakhand,UK,11854000,105.55166666666666,13531.104166666666,8.904307969180586,158819,83.8,82.97,0.36581968488325683,0.42686103150496424,20.59220516281424
West Bengal,WB,99962500,433.0275,68927.69916666667,4.331899462298361,82781,82.6,63.69,0.3735880733551957,0.6659580860946924,10.44991871951982
